Countries,Indicators,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Antigua and Barbuda,Current Health Expenditure (CHE) per Capita in US$,519.13116,571.11163,557.90277,612.15381,596.07178,639.24017,662.71893,711.56207,691.20734,606.9046,720.92444,713.99854,749.94379,735.4928,822.39221,784.64539,812.51093,785.47101,849.8335,801.54382,875.70099,923.40729,
Antigua and Barbuda,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4.71543,5.43839,5.28794,5.58143,5.11668,4.99094,4.63051,4.4461,4.20027,4.17733,5.37907,5.44257,5.47921,5.50909,5.8727,5.27966,5.1219,4.87494,4.84869,4.37567,5.92146,5.85133,
Argentina,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),8.22001,8.3718,7.39331,6.89452,7.22868,7.61079,7.64033,7.83455,8.1827,9.456,9.44546,9.4182,9.82727,9.78098,9.6713,10.22934,9.85559,10.23175,10.29147,10.04194,10.34702,9.70881,
Argentina,Current Health Expenditure (CHE) per Capita in US$,704.94592,671.36853,222.64751,260.98264,310.21994,390.80447,453.63934,569.28839,742.90466,781.77802,980.13629,1202.56396,1361.99158,1415.21008,1280.61487,1525.0531,1258.30798,1494.83606,1216.10681,1016.23083,895.08466,1044.77271,
Armenia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4.19581,4.64564,7.61359,7.17936,6.0551,5.86188,5.85007,5.49814,6.63977,8.44378,9.23538,9.37589,9.13455,10.32345,10.17828,10.11763,9.95196,10.36271,10.00543,11.3798,12.24056,12.33824,
Armenia,Current Health Expenditure (CHE) per Capita in US$,25.31325,31.41045,58.26769,65.34529,70.64101,94.26863,123.40877,168.47839,259.54517,246.33585,290.27081,324.6572,332.83701,395.71405,408.88486,370.92661,366.22733,418.86002,439.43091,549.47437,551.5434,612.78094,
Australia,Current Health Expenditure (CHE) per Capita in US$,1636.52856,1559.82129,1763.69568,2240.74609,2760.83081,3014.10474,3194.03076,3815.33643,4107.0127,4011.93262,4975.4707,5909.1499,6071.65088,5843.17383,6130.99854,5322.97119,5453.9248,5813.61377,5857.28809,5545.91064,5958.76563,7055.36816,
Australia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7.59412,7.6781,7.87627,7.88087,8.08709,7.97029,7.97702,8.05497,8.24855,8.54474,8.42026,8.53745,8.67457,8.75059,9.83354,10.18226,10.09289,10.12281,10.05972,10.21966,10.68374,10.54364,
Austria,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),9.20371,9.26943,9.39476,9.54724,9.7094,9.62703,9.53113,9.5321,9.72565,10.22582,10.22102,10.02613,10.19916,10.28575,10.36809,10.36747,10.35226,10.38403,10.34886,10.48695,11.38536,12.09598,
Austria,Current Health Expenditure (CHE) per Capita in US$,2269.12646,2282.51563,2497.86597,3091.24023,3594.65039,3710.39795,3882.98193,4478.76855,5057.76074,4928.98779,4800.79346,5167.81787,4966.0957,5235.34131,5393.60205,4612.82373,4709.87598,4938.92041,5337.21826,5263.39063,5566.97266,6504.80762,
Azerbaijan,Current Health Expenditure (CHE) per Capita in US$,18.98357,19.12,20.34368,23.44996,26.97998,34.11795,49.57524,74.23522,111.17494,134.31308,151.5694,182.90233,231.89761,248.79733,277.03766,233.60988,167.86195,165.30666,178.03693,196.87639,242.75842,249.07529,
Azerbaijan,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),2.94892,2.77419,2.73097,2.72699,2.65944,2.22961,2.07059,1.99422,2.04814,2.76541,2.64635,2.59547,3.15682,3.22551,3.58703,4.34131,4.42242,4.07397,3.83661,4.18189,5.84818,4.70267,
Bahamas,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),3.80487,3.92441,3.81252,4.01999,4.04628,4.03196,4.30936,4.49599,4.86262,5.15001,5.25594,5.32399,5.31909,5.5941,5.53944,5.16048,5.68249,6.70353,5.98264,5.82275,7.64701,7.13872,
Bahamas,Current Health Expenditure (CHE) per Capita in US$,945.44031,990.31128,1013.73596,1053.42017,1067.91626,1140.25159,1242.349,1334.7179,1410.82153,1396.72705,1421.59058,1418.50854,1492.4491,1532.22961,1590.94995,1558.79883,1698.39001,2076.1416,1898.81311,1898.85632,1824.87537,1961.67786,
Bahrain,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),3.33543,3.48573,3.67866,3.88658,3.49818,3.25871,3.10821,3.29534,3.20387,4.32667,4.08935,3.86518,4.10642,4.30854,4.4124,4.97672,4.86051,4.51236,4.12746,3.9598,4.71685,4.26834,
Bahrain,Current Health Expenditure (CHE) per Capita in US$,424.93597,438.60971,471.58298,553.05438,551.88983,576.9389,592.37512,688.14368,741.85962,841.48145,866.38623,917.65302,1030.84656,1111.21826,1123.62695,1134.46167,1111.42993,1098.74329,1049.06128,1024.3905,1105.32483,1146.47278,
Bangladesh,Current Health Expenditure (CHE) per Capita in US$,8.61863,8.41618,9.37759,10.31109,11.10975,11.6194,12.37925,14.41431,15.99568,18.20584,21.15063,23.28593,23.89686,27.40726,30.2958,33.5368,39.55921,42.27734,44.74491,47.66782,50.66413,57.93857,
Bangladesh,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),1.80505,1.77202,1.93417,1.96152,1.99854,2.05874,2.10647,2.17268,2.11879,2.18322,2.28808,2.36418,2.35379,2.29574,2.27915,2.27218,2.38938,2.3672,2.31622,2.25762,2.27064,2.36493,
Barbados,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5.33187,5.52529,5.86123,6.69148,7.31298,6.77536,6.5837,6.05665,6.47753,7.14523,6.77095,6.8969,7.7782,7.39825,6.96651,6.83201,6.83736,6.65253,6.45336,6.20015,7.37277,8.09043,
Barbados,Current Health Expenditure (CHE) per Capita in US$,616.37762,635.96448,683.3396,802.85565,938.14081,960.32306,1026.7804,1042.89624,1136.86572,1165.37598,1116.53308,1166.02197,1298.25586,1249.76575,1179.06519,1158.39307,1185.16309,1186.16968,1173.62854,1172.4054,1238.58716,1400.43579,
Belarus,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5.27606,5.70827,5.62329,5.76984,5.7371,6.07037,5.57381,5.69203,5.29415,5.39038,5.65694,4.87439,5.24533,5.69559,5.38793,6.06533,5.91054,5.75975,5.52699,5.86134,6.40607,6.5655,
Belarus,Current Health Expenditure (CHE) per Capita in US$,55.5043,71.4959,83.73773,105.65643,137.27948,190.86073,215.72052,271.19525,339.6907,281.03241,332.7009,310.14621,355.43124,443.88519,438.05389,352.98584,290.55298,324.68896,342.21109,390.24973,408.09473,467.52414,
Belgium,Current Health Expenditure (CHE) per Capita in US$,1849.91602,1879.93457,2084.71997,2814.88062,3312.74121,3405.88501,3545.92822,4064.87646,4653.50586,4638.43896,4531.03369,4930.14111,4704.47266,4954.92432,5080.125,4442.40137,4542.79492,4782.64697,5176.98389,5049.57715,5104.02539,5680.23145,
Belgium,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7.99918,8.14989,8.31821,9.16444,9.32809,9.22375,9.12963,9.13629,9.59514,10.32118,10.20229,10.36338,10.50205,10.57661,10.60909,10.79745,10.79355,10.79856,10.86148,10.79478,11.19751,11.04291,
Belize,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),2.9806,3.49099,3.59433,3.56306,3.4478,3.46699,3.57005,4.07867,4.53822,4.52588,4.49519,4.54943,4.36243,4.4366,4.88209,4.65366,4.76508,4.6162,4.74658,4.81374,5.30974,4.98044,
Belize,Current Health Expenditure (CHE) per Capita in US$,138.36383,163.64502,173.12642,175.185,176.04594,180.7224,195.48561,232.77417,256.69983,242.08943,242.61841,251.19102,246.29817,261.22449,296.24939,285.84985,292.99127,281.63385,287.60294,298.96051,279.65802,310.19501,
Benin,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),2.95917,3.30417,3.09589,3.11679,3.23274,3.22346,3.28774,2.93716,2.65178,2.88893,3.00989,2.99708,3.07563,2.86881,2.69112,2.72813,2.7955,2.66814,2.88632,2.50914,2.4697,2.5813,
Benin,Current Health Expenditure (CHE) per Capita in US$,14.88457,16.79668,17.47256,21.7679,25.34852,25.978,27.52271,27.74565,29.14166,30.67226,30.38452,32.95032,34.21852,34.8358,33.67949,28.41768,29.34769,29.22344,34.4477,29.37922,30.64244,35.12915,
Bhutan,Current Health Expenditure (CHE) per Capita in US$,31.09417,35.96975,35.96073,37.33245,46.10058,46.69152,54.01428,64.43791,57.31074,59.43021,71.98933,77.32338,83.64319,85.98598,86.81033,96.52058,97.18308,103.39091,101.69933,115.32081,133.70314,120.43118,
Bhutan,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4.44684,5.0042,4.59564,4.12938,4.59777,4.13416,4.4061,4.12985,3.38117,3.54763,3.55879,3.34922,3.61914,3.70787,3.55791,3.75701,3.57614,3.34074,3.24277,3.60361,4.36275,3.8455,
Bolivia (Plurinational State of),Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4.39554,4.82522,4.89645,5.1971,4.86316,5.07408,4.66088,4.69689,4.60677,5.17445,5.20231,5.17307,5.25394,5.57465,5.89614,6.55065,6.83333,6.49019,6.60399,6.88793,8.02258,8.15973,
Bolivia (Plurinational State of),Current Health Expenditure (CHE) per Capita in US$,42.95851,44.91655,43.48995,46.37623,46.29327,51.67019,55.93381,63.45651,77.74306,89.26694,99.99168,119.23862,134.63066,159.08922,178.2088,194.92401,205.92244,212.87914,229.2254,239.17545,246.19775,272.95923,
Bosnia and Herzegovina,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7.99843,7.60726,7.42553,8.30537,9.0627,9.05224,9.17219,9.5306,9.68944,9.02212,9.01888,9.17856,9.49002,9.44886,9.49011,9.24087,9.13943,8.81797,8.761,8.92544,9.70312,9.56443,
Bosnia and Herzegovina,Current Health Expenditure (CHE) per Capita in US$,106.28906,104.8823,118.68923,168.28003,222.17709,241.77007,281.6235,364.366,459.77545,409.50674,406.17133,456.80496,444.42065,474.19427,492.21198,430.12714,449.40857,469.77213,527.80951,543.98285,591.40643,691.52588,
Botswana,Current Health Expenditure (CHE) per Capita in US$,200.98801,197.2883,200.33075,262.04077,288.94662,273.51932,250.76968,296.56552,315.2706,326.95221,378.6467,415.58109,405.96008,418.32352,402.45758,358.22321,369.84204,444.55603,419.65451,408.89603,358.90552,457.46298,
Botswana,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6.10839,6.36608,6.6653,6.40934,6.09126,5.26533,4.87599,5.52081,5.89747,6.62081,6.26718,5.86915,6.35011,6.49914,5.88041,6.10288,5.76838,6.62987,6.0401,6.12193,6.12134,6.3093,
Brazil,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),8.33457,8.54963,8.69687,8.18899,8.12492,8.0354,8.24953,8.20183,8.01128,8.3948,7.94517,7.78819,7.73638,7.9766,8.39644,8.9093,9.16901,9.47125,9.46475,9.61449,10.18235,9.89072,
Brazil,Current Health Expenditure (CHE) per Capita in US$,310.61404,268.64972,245.66194,250.30894,294.38385,383.55087,483.91916,600.63568,705.13397,719.42651,893.77509,1028.08472,953.70313,977.81689,1013.56842,782.52295,795.93799,937.3429,863.28174,850.43286,704.99536,761.26776,
Brunei Darussalam,Current Health Expenditure (CHE) per Capita in US$,507.38867,463.81586,472.29974,534.14124,617.52167,643.33484,650.22095,695.6499,778.06067,729.13074,788.50031,860.07782,867.06189,834.30914,785.59027,732.39417,681.97345,639.91968,753.81183,674.65161,650.47821,693.40558,
Brunei Darussalam,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),2.54791,2.54651,2.53448,2.60261,2.55193,2.23386,1.90725,1.94145,1.87612,2.39307,2.27826,1.8641,1.85097,1.89831,1.91437,2.38709,2.54829,2.27023,2.41289,2.19411,2.39334,2.20487,
Bulgaria,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5.82971,6.85959,7.08099,7.19987,6.89091,6.89011,6.52545,6.15652,6.28282,6.59578,7.09572,7.10267,7.53875,7.14268,7.68282,7.39129,7.45654,7.49168,7.32867,7.0892,8.47807,8.55573,
Bulgaria,Current Health Expenditure (CHE) per Capita in US$,94.51976,119.82998,148.14792,195.7437,233.11333,267.74139,294.10892,361.23499,455.54059,459.3002,484.75229,555.8642,558.64795,547.45483,605.25891,521.41907,562.34082,624.52502,689.9054,697.89636,856.70453,1040.02295,
Burkina Faso,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),2.95026,2.88835,2.97113,3.14307,4.21721,3.9511,4.51446,5.23373,4.64781,5.08159,5.23958,4.64868,4.60267,5.56332,5.00027,5.13192,5.96067,6.0249,5.00578,5.31869,6.50193,6.37691,
Burkina Faso,Current Health Expenditure (CHE) per Capita in US$,7.36982,7.52253,8.51982,11.43507,17.09873,17.50116,20.64654,27.04533,28.90426,30.68659,32.86636,33.82439,33.78237,42.40937,38.37066,32.44026,39.645,43.07156,39.00284,41.07073,54.17697,56.95098,
Burundi,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4.22182,5.6818,5.34984,5.27245,7.09573,7.56017,8.71265,9.18554,7.74148,9.23238,11.28197,10.06996,8.63756,8.62835,7.21082,6.29023,7.06148,6.95276,7.29396,9.05011,10.71837,9.10191,
Burundi,Current Health Expenditure (CHE) per Capita in US$,5.82561,7.70398,6.64047,6.02923,9.1197,11.4301,14.48707,15.68035,15.07347,18.82118,25.12049,23.81056,20.5749,20.84173,18.59082,18.20367,19.16796,19.77141,19.27294,22.95755,27.07072,24.26921,
Cabo Verde,Current Health Expenditure (CHE) per Capita in US$,58.89911,62.7851,68.21863,83.48032,92.04717,94.58553,111.28135,125.57422,125.5351,127.79915,142.87772,152.28348,167.49281,181.29549,181.44196,139.48537,144.32523,165.03763,178.77837,171.77171,196.26964,247.90794,
Cabo Verde,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4.43401,4.75244,4.75552,4.50009,4.37711,4.27364,4.48975,4.189,3.58313,3.88152,4.47556,4.30527,5.13365,5.28994,5.32722,4.82334,4.84607,5.26837,4.73805,4.5632,6.12422,6.90379,
Cambodia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6.53805,7.00522,7.22557,6.93706,7.07894,6.84559,6.11889,4.90876,6.60109,7.58331,6.9117,7.50353,7.26115,7.10387,6.70158,6.19432,6.11648,5.65126,6.0663,6.84973,7.11157,7.53223,
Cambodia,Current Health Expenditure (CHE) per Capita in US$,19.78131,22.66413,24.67282,25.30602,29.03012,32.52132,33.02657,30.92131,49.00638,55.72327,54.09758,66.05436,69.01601,72.11995,73.58833,72.51951,78.35866,79.16844,93.01556,114.48534,112.21423,122.41646,
Cameroon,Current Health Expenditure (CHE) per Capita in US$,28.79333,27.46539,31.41915,38.10652,41.75278,42.60779,44.01631,48.61967,53.99886,50.6047,49.50486,57.71255,56.36002,56.61406,61.80369,50.31904,51.24961,50.27868,57.70022,56.18641,58.09697,63.78602,
Cameroon,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4.11237,3.88487,4.0267,3.90228,3.72799,3.77274,3.73663,3.70859,3.65844,3.49997,3.57742,3.85283,3.93102,3.63111,3.78765,3.59505,3.59378,3.39752,3.6197,3.65158,3.77177,3.82407,
Canada,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),8.24814,8.62482,8.8567,9.0109,9.06628,9.03541,9.3421,9.4454,9.60755,10.66226,10.67611,10.37951,10.50972,10.41175,10.25765,10.7387,11.03193,10.90631,10.90543,11.00888,13.03512,12.33411,11.15471
Canada,Current Health Expenditure (CHE) per Capita in US$,2001.6687,2055.75952,2149.37939,2552.26392,2916.25122,3291.2207,3788.68604,4221.92871,4491.229,4368.85693,5083.98193,5423.05908,5538.93555,5483.25586,5231.73633,4677.83008,4667.70313,4920.72852,5080.32324,5115.97607,5668.34766,6470.06787,6207.18164
Central African Republic,Current Health Expenditure (CHE) per Capita in US$,9.86345,9.26134,10.61978,13.00554,13.72548,14.66589,15.9144,18.94979,18.67625,21.82637,16.40024,18.93714,20.60425,16.78927,18.02748,17.71483,20.25914,27.64417,49.17564,33.94443,40.11012,42.92786,
Central African Republic,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4.27479,3.95594,4.22761,4.3972,4.30442,4.36732,4.44105,4.71851,4.08699,4.81901,3.567,3.67562,3.91814,4.7666,4.56557,5.03434,5.44402,6.66542,10.99658,7.76125,8.98538,9.06853,
Chad,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5.45751,5.2933,7.26787,5.50941,5.50013,4.84111,4.86643,4.34313,4.05955,4.44167,4.06023,3.91046,3.85608,4.06645,4.27317,4.52395,4.73397,4.6474,4.56769,4.59278,5.53655,5.19022,
Chad,Current Health Expenditure (CHE) per Capita in US$,10.38308,12.00212,18.58373,18.59138,28.63477,32.28605,34.97856,35.18188,38.15471,36.02885,36.4987,38.68488,37.49701,39.97917,43.67587,35.03441,33.10381,31.061,32.30886,31.30482,35.72978,35.63118,
Chile,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7.00021,7.09733,7.20834,7.25048,6.91029,6.62372,6.07236,6.2126,6.73954,7.25027,6.81958,6.79948,7.01951,7.47553,7.8415,8.35139,8.55767,9.09052,9.22575,9.36262,9.72727,9.34328,9.00163
Chile,Current Health Expenditure (CHE) per Capita in US$,356.74414,326.96625,322.87408,349.77902,427.43677,500.87451,571.89832,649.92242,726.73669,738.28473,870.70959,994.66608,1081.46069,1183.62085,1150.06165,1133.27979,1179.73364,1367.71643,1457.27283,1369.48401,1280.63232,1518.04004,1380.68823
China,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4.50828,4.2533,4.38285,4.41763,4.29347,4.17605,3.94742,3.67491,3.9,4.34958,4.23068,4.34274,4.56585,4.71491,4.77791,4.93828,4.97956,5.06592,5.1679,5.35028,5.5936,5.38361,
China,Current Health Expenditure (CHE) per Capita in US$,42.99362,44.56904,50.15548,56.79229,64.5434,73.2902,82.7946,98.87766,134.20764,165.29445,189.3437,239.75433,285.31427,329.78107,363.0094,393.77991,398.78922,440.5885,504.79974,539.61945,583.43219,670.51459,
Colombia,Current Health Expenditure (CHE) per Capita in US$,134.28444,138.02864,131.76093,129.33969,159.20833,209.22647,239.64555,309.10782,378.67914,383.54962,452.05121,501.29831,546.21149,579.87964,586.8764,468.60544,447.06995,495.27026,517.15845,500.73138,462.23282,557.53949,
Colombia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5.63529,5.94238,5.73297,5.77505,5.79892,6.06711,6.33547,6.49102,6.84192,7.31135,7.0713,6.78077,6.74602,7.01724,7.18553,7.52339,7.53117,7.67864,7.62541,7.77955,8.71432,9.01772,
Comoros,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7.51535,6.65323,6.68115,6.65392,6.58028,6.12521,5.77074,5.41754,5.06897,4.92694,4.99182,5.30212,5.17355,5.10299,5.2385,4.6009,4.65264,5.26807,4.90319,5.18044,5.86522,6.33513,
Comoros,Current Health Expenditure (CHE) per Capita in US$,47.50006,45.25307,51.05595,63.81993,70.5047,67.78136,65.70906,69.87508,73.73595,69.4259,69.08988,80.95453,76.77298,81.44331,84.27106,60.86703,63.14865,74.52148,74.43584,77.80075,88.67053,99.03724,
Congo,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),1.50501,2.1853,1.70168,1.91852,1.92152,1.71774,1.70861,1.902,2.23927,2.14222,1.85173,1.75237,1.90971,1.94347,1.97312,2.45668,2.77497,2.52241,1.89764,2.54176,4.39383,3.87538,
Congo,Current Health Expenditure (CHE) per Capita in US$,17.44676,20.41894,17.09034,21.64731,27.67554,31.10123,36.16911,42.22278,63.78909,48.9273,54.86232,59.84464,71.68789,72.29035,71.47676,57.6785,54.67388,52.68054,47.6759,58.90273,80.80836,80.51492,
Cook Islands,Current Health Expenditure (CHE) per Capita in US$,190.94469,223.72914,277.40778,353.95102,439.34763,513.76019,467.82498,544.26331,480.92465,450.31744,507.74564,538.04816,516.72247,530.98499,590.14569,490.77432,527.54211,556.16931,557.51978,575.21411,607.30518,736.66376,
Cook Islands,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),3.03594,3.25854,3.43605,3.20134,3.40954,3.90653,3.46895,3.72358,3.42646,3.47491,3.62946,3.5153,3.10666,3.28935,3.29125,2.87401,2.98725,2.79936,2.65185,2.75842,3.64915,3.82395,
Costa Rica,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6.56499,6.4741,6.86909,6.96919,6.63006,6.6643,6.93531,6.99643,7.46855,7.86019,8.02938,8.12198,7.78642,7.68229,7.66376,7.59196,7.31724,7.04523,7.28588,7.22125,7.82546,7.56881,
Costa Rica,Current Health Expenditure (CHE) per Capita in US$,247.70189,255.18231,276.23712,287.37347,290.13354,309.51428,359.79248,423.63812,510.99155,529.6087,654.1734,742.14191,776.43488,816.87872,822.91003,875.34973,870.7384,853.75049,902.22119,914.8847,953.08252,948.92163,
Croatia,Current Health Expenditure (CHE) per Capita in US$,371.06213,388.32489,386.44409,512.1521,634.6203,727.13104,816.01703,1041.03442,1258.87244,1187.54529,1126.37366,1132.4989,1029.97119,889.94452,909.37164,795.50836,840.90125,902.62524,1024.62415,1040.08569,1094.53284,1384.11914,
Croatia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7.65292,7.17129,6.14294,6.29591,6.50386,6.83877,6.91164,7.405,7.65149,8.08232,7.98821,7.66187,7.67682,6.42543,6.61018,6.69006,6.72539,6.65739,6.75032,6.80215,7.72463,8.09696,
Cuba,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6.5819,6.9821,7.11482,7.10295,6.83179,8.75525,8.27191,10.96749,11.31423,12.29054,10.68808,11.31299,9.29941,10.43099,12.14123,12.81401,12.21775,11.47197,11.01843,11.08497,12.4864,13.78728,
Cuba,Current Health Expenditure (CHE) per Capita in US$,181.14725,198.58794,213.95627,227.69859,232.50595,331.98813,387.44147,570.31433,610.09155,676.22461,608.96155,695.99158,601.42426,710.7934,864.15558,985.41901,984.24866,980.09216,973.13745,1013.10138,1186.15649,,
Cyprus,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5.308,5.3394,5.61566,5.63569,5.40558,5.43581,5.46357,5.35745,6.01428,6.46532,6.50056,6.43139,6.53639,6.92775,6.93137,6.79382,6.65255,6.62193,6.82634,7.06619,8.40699,9.42843,
Cyprus,Current Health Expenditure (CHE) per Capita in US$,750.51672,782.16162,890.48297,1145.05847,1286.97156,1366.01709,1474.02063,1694.27185,2155.24658,2105.47778,2045.29236,2114.66895,1899.37256,1916.32263,1873.89136,1596.2052,1649.41248,1773.41162,2020.7334,2093.06128,2362.39673,2989.65283,
Czechia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5.70103,5.86295,6.17736,6.52412,6.35071,6.34087,6.1638,5.98578,6.33025,7.24881,7.58647,7.55802,7.62448,7.52132,7.61249,7.36898,7.44554,7.38072,7.47048,7.60336,9.21369,9.48879,
Czechia,Current Health Expenditure (CHE) per Capita in US$,342.92108,388.54404,497.74203,640.6604,746.32892,852.65247,942.11804,1110.17664,1449.33679,1442.2428,1516.04858,1654.51013,1515.81604,1514.01404,1516.05627,1314.83728,1384.66357,1525.3479,1753.19897,1803.05249,2119.26831,2498.5166,
Côte d'Ivoire,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6.12679,6.01768,5.90386,5.47973,5.47517,5.00639,4.76327,4.5525,4.5687,4.46967,4.41577,4.39701,4.42737,3.71774,3.73102,3.21988,3.32101,3.24693,3.09168,3.21497,3.62587,3.13269,
Côte d'Ivoire,Current Health Expenditure (CHE) per Capita in US$,54.16063,54.03316,57.24786,64.14106,67.68047,62.34985,60.48682,64.68389,75.87518,72.83111,71.98826,72.44979,74.48454,71.52493,79.31149,62.51667,66.39354,68.61873,70.97071,73.64802,85.17428,81.86915,
Democratic Republic of the Congo,Current Health Expenditure (CHE) per Capita in US$,18.20226,5.65382,4.34459,6.27501,8.14487,8.88716,10.77357,11.9826,15.89509,13.18277,12.53951,12.27988,13.62572,15.86668,18.79025,19.13417,19.91032,18.74936,17.87852,19.85772,21.25386,22.32124,
Democratic Republic of the Congo,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),1.46595,2.62311,2.57013,3.73353,4.33564,3.98558,4.06211,3.89385,4.31255,4.51133,3.72224,3.19436,3.2215,3.34058,3.72521,3.74785,4.20028,4.00058,3.24127,3.50804,4.05093,3.78593,
Denmark,Current Health Expenditure (CHE) per Capita in US$,2496.04712,2602.64307,2895.80737,3607.04297,4194.87354,4442.75488,4778.89209,5468.37939,6137.77637,6221.68896,6171.28516,6438.2124,6168.33936,6334.41553,6466.89795,5531.87891,5624.3291,5834.02051,6232.72168,6058.83008,6442.39697,7382.21338,6331.70459
