Country,Year,Life Expectancy,Population,Type,"Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),countrycode,Region,GDP per Capita,pop,Measure,Unit of Measure,Health Expenditure,country code,adjusted savings: education expenditure (current us$),current health expenditure (% of gdp),domestic credit to private sector (% of gdp),gdp (constant 2015 us$),labor force with advanced education (% of total working-age population with advanced education),labor force with intermediate education (% of total working-age population with intermediate education),labor force with basic education (% of total working-age population with basic education),market capitalization of listed domestic companies (% of gdp),military expenditure (% of gdp),out-of-pocket expenditure (% of current health expenditure),research and development expenditure (% of gdp),"stocks traded, total value (% of gdp)",Alcohol use disorders,Cardiovascular diseases,Diabetes mellitus,Liver cancer due to alcohol use,Motor vehicle road injuries,Opioid use disorders,Police conflict and executions,Road injuries,Self-harm,"Tracheal, bronchus, and lung cancer"
Australia,1969.0,71.1,12268,Country/Area,6171.0,6097.0,67.8,74.7,AUS,Western Offshoots,18428.0,12379.0,,,,AUS,,,24.8224590113883,313090190822.92474,,,,,3.3859198800219197,,,,,,,,,,,,,
Australia,1970.0,70.7,12595,Country/Area,6333.0,6262.0,67.4,74.2,AUS,Western Offshoots,19166.0,12660.0,,,,AUS,2035614364.41483,,23.2776046606151,335556914435.48193,,,,,2.96603557682305,,,,,,,,,,,,,
Australia,1971.0,71.5,12994,Country/Area,6530.0,6464.0,68.3,74.9,AUS,Western Offshoots,19590.0,12937.0,Expenditure,Percentage of GDP,4.541,AUS,2227466095.05208,,23.6156246903795,348981339247.1852,,,,,2.76315170889944,,,,,,,,,,,,,
Australia,1972.0,71.8,13300,Country/Area,6681.0,6619.0,68.5,75.3,AUS,Western Offshoots,19772.0,13177.0,Expenditure,Percentage of GDP,4.54,AUS,2581218502.12383,,24.669450243563,362627385697.0418,,,,,2.68562060485785,,,,,,,,,,,,,
Australia,1973.0,72.1,13513,Country/Area,6785.0,6728.0,68.7,75.7,AUS,Western Offshoots,20527.0,13380.0,Expenditure,Percentage of GDP,4.504,AUS,3181539617.13517,,28.3655158570855,372125844372.7453,,,,,2.37934679594664,,,,,,,,,,,,,
Australia,1974.0,71.9,13713,Country/Area,6882.0,6831.0,68.5,75.5,AUS,Western Offshoots,20698.0,13599.0,Expenditure,Percentage of GDP,5.105,AUS,4416223331.16581,,27.8569298565323,387410259374.5949,,,,,2.26280269948392,,,,,,,,,,,,,
Australia,1975.0,72.8,13887,Country/Area,6964.0,6923.0,69.4,76.4,AUS,Western Offshoots,20993.0,13771.0,Expenditure,Percentage of GDP,5.752,AUS,4857291904.67295,,27.3387130727668,392587775927.28296,,,,,2.26731559253735,,,1.2034570205599604,,,,,,,,,,
Australia,1976.0,72.8,14038,Country/Area,7033.0,7005.0,69.4,76.4,AUS,Western Offshoots,21613.0,13916.0,Expenditure,Percentage of GDP,5.769,AUS,5233459726.55744,,27.8520180448241,402751099517.44666,,,,,2.21661210675248,,,1.2754694533762057,,,,,,,,,,
Australia,1977.0,73.5,14193,Country/Area,7104.0,7089.0,70.1,77.1,AUS,Western Offshoots,21592.0,14074.0,Expenditure,Percentage of GDP,6.068,AUS,5458152211.97293,,27.383033793125,417230606483.7943,,,,,2.24720220833707,,,1.343907570449986,,,,,,,,,,
Australia,1978.0,73.7,14356,Country/Area,7179.0,7177.0,70.3,77.3,AUS,Western Offshoots,21948.0,14249.0,Expenditure,Percentage of GDP,5.93,AUS,5970439882.69795,,28.0477450551124,420958064894.8222,,,,,2.2156885699105797,,,0.7452002931713911,,,,,,,,,,
Australia,1979.0,74.3,14521,Country/Area,7255.0,7265.0,70.8,78.0,AUS,Western Offshoots,22826.0,14422.0,Expenditure,Percentage of GDP,5.82,AUS,6662842212.88195,,28.6517166171232,438008654792.1397,,,,28.870016379651545,2.19272937103289,,,1.4865343390792498,,,,,,,,,,
Australia,1980.0,74.6,14706,Country/Area,7343.0,7363.0,71.1,78.2,AUS,Western Offshoots,22972.0,14616.0,Expenditure,Percentage of GDP,5.822,AUS,7420947075.2089,,27.8414257272754,451305273260.368,,,,39.78284827875672,2.24895690403517,,,3.2992519240483764,224.6408267073107,53175.420093254535,1653.0979582761445,74.91343379540108,2254.1900783873516,127.52032568249884,2.1089366230674185,3650.4193746444616,1746.6998034163848,5293.914875532778
Australia,1981.0,74.8,14930,Country/Area,7452.0,7478.0,71.3,78.4,AUS,Western Offshoots,23368.0,14923.0,Expenditure,Percentage of GDP,5.831,AUS,8815221177.29015,,27.9250187059426,466378263938.7031,,,,30.741538051825305,2.2966019447106403,,,4.402761544520144,201.37543767623447,53519.112786791586,1686.2022697633834,94.7860142034429,2045.0410115602383,137.1039943093824,2.5112699335370325,3546.024685669766,1766.7054960740709,5405.44035384828
Australia,1982.0,74.7,15168,Country/Area,7572.0,7596.0,71.3,78.3,AUS,Western Offshoots,22972.0,15162.0,Expenditure,Percentage of GDP,6.098,AUS,9517157674.05935,,27.0465776170411,481886340041.63385,,,,21.400810588716972,2.3932652161369203,,,2.53637942475989,202.20959577424685,53790.30382791935,1660.3960107449277,89.81427587453624,2108.0752312448985,167.69515241620434,2.9923877887548276,3456.007451229089,1804.6789506118812,5527.492269402785
Australia,1983.0,75.4,15383,Country/Area,7680.0,7703.0,72.1,78.8,AUS,Western Offshoots,22697.0,15348.0,Expenditure,Percentage of GDP,6.044,AUS,8795554515.6762,,28.7876164128989,471166922893.1588,,,,30.483136709036383,2.51981181916526,,,5.266001713513399,199.41482394200565,52886.55470650461,1725.0826317848175,94.982143752096,1954.82594631714,197.18662612285377,3.7608952036212986,3178.6416909231525,1814.903925613268,5614.889253747682
Australia,1984.0,75.5,15579,Country/Area,7779.0,7801.0,72.3,78.8,AUS,Western Offshoots,24009.0,15510.0,Expenditure,Percentage of GDP,6.01,AUS,9751151965.22369,,30.3145737203186,492801545631.1769,,,,25.806029627041543,2.50523365070013,,,5.223487149031756,219.72132377826588,53371.722621214045,1850.4954526285655,103.9528261173886,1954.8612149644975,224.34541661230003,4.648461605070403,3152.437839828908,1884.3547690485489,5730.5405817047495
Australia,1985.0,75.4,15786,Country/Area,7883.0,7903.0,72.3,78.7,AUS,Western Offshoots,24927.0,15695.0,Expenditure,Percentage of GDP,6.06,AUS,8906995474.41895,,37.0245652773944,518814215454.1886,,,,32.88366581286651,2.52326837870517,,,8.449564074630034,224.2883883872432,53926.064689882645,1924.0735196727237,111.4077901669321,1994.92916032526,244.36168104732124,5.656511989491096,3210.6586096235123,1987.8474355821731,5897.215690682097
Australia,1986.0,76.1,16012,Country/Area,7996.0,8016.0,72.9,79.3,AUS,Western Offshoots,25116.0,15900.0,Expenditure,Percentage of GDP,6.26,AUS,8781988668.15894,,40.2918728700832,539388997290.7308,,,,65.37861163581441,2.54042975157867,,,12.418652263413922,233.08932855612397,52969.13899822274,1967.5750293947087,116.392269648935,1921.7355793685513,239.6620731960654,5.379348952532097,3121.7949969091974,2133.1732409359643,5913.006152608232
Australia,1987.0,76.1,16259,Country/Area,8117.0,8142.0,72.9,79.3,AUS,Western Offshoots,25971.0,16137.0,Expenditure,Percentage of GDP,6.099,AUS,8744388565.3785,,42.7758745324826,553211117373.3534,,,,81.45731771345159,2.37298883241393,,,30.34429838695596,232.62937731547865,53036.48505534821,2038.331624398646,132.11284553203123,1799.2693811529002,249.6705741860553,5.33947776505762,3069.005576054349,2283.335988344258,6077.986087739351
Australia,1988.0,76.3,16526,Country/Area,8246.0,8280.0,73.2,79.6,AUS,Western Offshoots,26702.0,16400.0,Expenditure,Percentage of GDP,6.055,AUS,10661832072.1769,,46.7147505021998,585042374929.3557,,,,58.28565997298597,2.16181488266294,,,17.346368594086982,262.25649809993405,53228.23524977351,2074.9528432298816,136.91292309619018,1963.96702814452,289.25850435404845,5.192908361606716,3098.641319801082,2293.2223463990076,6229.716234576588
Australia,1989.0,76.2,16797,Country/Area,8379.0,8418.0,73.1,79.4,AUS,Western Offshoots,27407.0,16681.0,Expenditure,Percentage of GDP,6.107,AUS,13126801563.3906,,59.2549046229041,607734119284.946,,,,46.80451227571787,2.0518275094775,,,14.52252091143846,275.98441363286196,53730.31262827264,2159.9615807256514,146.5272949859878,1969.270374925572,311.37694173026176,4.771472426895367,3027.867748752789,2283.5788805621087,6354.902497565197
Australia,1990.0,77.0,17048,Country/Area,8502.0,8547.0,74.0,80.1,AUS,Western Offshoots,27373.0,16956.0,Expenditure,Percentage of GDP,6.467,AUS,13225834551.7507,,60.5569626508852,629485671230.8241,,,,34.65923626005016,2.07590585971773,,,12.904127644102347,270.18242095059367,51656.94756767593,2215.340689369739,151.89328810568773,1745.79163985546,320.9727384142862,4.463879881977329,2673.0005307865304,2359.448220994516,6476.235872393215
Australia,1991.0,77.5,17271,Country/Area,8608.0,8663.0,74.5,80.5,AUS,Western Offshoots,26861.0,17174.0,Expenditure,Percentage of GDP,6.763,AUS,13767292991.131,,60.1161995179632,627081824259.9332,,,,44.42865059426323,2.16804285831077,,,14.011017675785716,250.12784025594695,50669.10706437687,2303.5206911622768,159.04962181033392,1614.1734961748398,328.98867302479636,4.361432260486102,2430.595591569918,2417.8922952227763,6480.114266236705
Australia,1992.0,77.5,17463,Country/Area,8699.0,8763.0,74.5,80.5,AUS,Western Offshoots,27560.0,17367.0,Expenditure,Percentage of GDP,6.828,AUS,14083930631.3927,,61.8614584982198,629763718009.9797,,,,41.51936599804853,2.16874608012627,,,12.91948550275828,248.10081983608967,51240.39989985046,2427.670709711707,175.2447752277231,1543.683343112207,370.1782545105078,4.068231837834919,2305.888866702598,2394.089384472142,6553.197258719316
Australia,1993.0,78.0,17632,Country/Area,8779.0,8852.0,75.0,81.0,AUS,Western Offshoots,28622.0,17522.0,Expenditure,Percentage of GDP,6.844,AUS,15799092186.6217,,63.2812649559566,655238649441.0302,,,,65.5060013515795,2.17802988646311,,,21.375809077013468,260.66812573874233,50998.29092785672,2578.8986773393353,188.9718195862773,1485.463276286274,405.8758670864256,3.711842738686731,2215.24016980889,2283.9451047578073,6618.206818420933
Australia,1994.0,77.9,17806,Country/Area,8862.0,8943.0,74.9,80.8,AUS,Western Offshoots,29844.0,17692.0,Expenditure,Percentage of GDP,6.871,AUS,16417142857.1429,,66.7698738349503,681315222435.7794,,,,67.80158036244323,2.11659858893427,,,30.851196299487153,277.83019104233375,51806.257048848805,2742.848389112906,199.6504250783966,1454.1220374138768,462.4685695181239,3.7761009313754257,2194.303754338712,2398.5188042171417,6808.396895496925
Australia,1995.0,78.3,18003,Country/Area,8957.0,9046.0,75.4,81.1,AUS,Western Offshoots,30690.0,17890.0,Expenditure,Percentage of GDP,6.917,AUS,17365559281.6732,,69.7737485832295,707771815356.0739,,,,66.60536675580724,2.02131256804327,,,26.67202941639138,291.99916976961487,51533.686884567534,2812.191691273085,206.4713823977543,1449.750181604236,519.6899593327565,3.234008739524862,2193.353079849055,2452.706331835099,6924.372136586686
Australia,1996.0,78.3,18212,Country/Area,9056.0,9155.0,75.5,81.3,AUS,Western Offshoots,31740.0,18108.0,Expenditure,Percentage of GDP,7.056,AUS,20130628224.5827,,71.4967689789005,735119653575.8134,,,,77.85814167131345,1.93044006740518,,1.66231000423431,36.11982875442607,287.9884906763923,51461.08982816022,2945.7649998313254,219.75221164804313,1432.5775250958038,555.7890774984526,2.8372027889441043,2150.6668514940225,2592.7968708327408,7001.421871786695
Australia,1997.0,78.6,18410,Country/Area,9149.0,9261.0,75.9,81.4,AUS,Western Offshoots,32858.0,18305.0,Expenditure,Percentage of GDP,7.075,AUS,20491704455.2355,,75.3187304393127,763886278172.3203,,,,67.8917907317938,1.86733439499343,,,34.4804998649996,302.3978322659195,50395.46650482852,2899.0456484062656,234.7770318213688,1327.7682890682424,603.733758566817,3.5000587230452087,2023.3758754604005,2730.4703476781247,7040.194001001445
Australia,1998.0,79.0,18602,Country/Area,9239.0,9363.0,76.2,81.9,AUS,Western Offshoots,34337.0,18489.0,Expenditure,Percentage of GDP,7.225,AUS,18371616353.795,,79.1106668929469,799508217490.1122,,,,82.2991069961306,1.87112181310612,,1.5135600566864,38.915077255956824,280.09154980633525,49906.57982556974,2872.674634758374,241.5588795437639,1292.0330725942324,640.0853816078927,4.020246398148033,2009.282938900854,2765.476607523772,7111.809509062351
Australia,1999.0,79.3,18801,Country/Area,9334.0,9467.0,76.5,82.0,AUS,Western Offshoots,35551.0,18692.0,Expenditure,Percentage of GDP,7.314,AUS,18062814735.4932,,84.0544793480935,839704672154.9417,,,,109.7992894078066,1.88923574072912,,,51.0220124122115,302.4190085757886,49167.3759901082,2916.29342750221,263.4811095189687,1308.034640305381,619.5423229439956,3.998905461882411,2012.5002502719392,2672.391304868357,7157.661387622878
Australia,2000.0,79.6,19018,Country/Area,9438.0,9580.0,77.0,82.3,AUS,Western Offshoots,36603.0,18907.0,Expenditure,Percentage of GDP,7.589,AUS,19506490234.2524,7.59412289,87.5351786851453,872633840587.0721,,,,89.57789057204599,1.82984191251005,20.99713898,1.5731999874115,51.234935107223166,311.7891477252516,48259.92150975026,2989.5192263926056,286.9303089537729,1315.6018922346725,535.681368528611,3.727533317478402,1996.133459684674,2564.7623970799373,7252.012740635871
Australia,2001.0,80.0,19248,Country/Area,9550.0,9698.0,77.4,82.6,AUS,Western Offshoots,37276.0,19151.0,Expenditure,Percentage of GDP,7.674,AUS,17861632607.0624,7.67809916,88.3590787133765,890305786856.3903,80.325,73.427,49.143,98.81502516922204,1.87009387891872,20.43909836,,63.36978176829017,304.7413747926404,47788.31508010549,3076.707404872759,304.72308745171944,1245.0147774850295,415.9009207937917,3.110596130785755,1921.2264989217065,2523.3915278895147,7331.016135930656
Australia,2002.0,80.1,19476,Country/Area,9664.0,9811.0,77.5,82.5,AUS,Western Offshoots,38567.0,19371.0,Expenditure,Percentage of GDP,7.872,AUS,18696157377.5639,7.87627029,91.2177033536445,925736696479.9456,79.366,73.509,49.315,96.03280837217726,1.87396462061393,19.92001152,1.74749004840851,73.51043699114015,319.1552812577242,47770.58794351142,3242.650203717575,320.6591288329074,1220.9435748465116,360.27937676100106,3.139857540375313,1868.510652130112,2432.802789633263,7472.319538162909
Australia,2003.0,80.5,19699,Country/Area,9776.0,9923.0,78.0,82.9,AUS,Western Offshoots,39524.0,19595.0,Expenditure,Percentage of GDP,7.877,AUS,22135819918.4625,7.88087225,99.1347105275741,954348321893.9402,78.102,72.199,50.514,125.18297386279303,1.84628968871455,19.14758873,,90.15061991164328,322.53782823805517,46959.54553016464,3387.0115636881796,331.7537249965234,1183.4031507440632,337.4594853079293,2.4895541480832883,1803.927873304213,2357.350960066378,7500.949681412339
Australia,2004.0,80.8,19925,Country/Area,9890.0,10035.0,78.3,83.2,AUS,Western Offshoots,40888.0,19805.0,Expenditure,Percentage of GDP,8.083,AUS,29161787580.0256,8.08708572,102.611545762354,994663065408.5815,79.738,72.447,49.947,126.31418754410711,1.82741076940486,19.21869659,1.84902000427246,88.65427027262236,321.43802893764024,46020.0867549721,3477.5678666433837,345.3429556029712,1145.4938340830386,319.5583303797235,2.2149219207245645,1760.9631285545904,2322.845328524939,7742.146100189829
Australia,2005.0,81.1,20172,Country/Area,10015.0,10156.0,78.7,83.5,AUS,Western Offshoots,41904.0,20048.0,Expenditure,Percentage of GDP,7.965,AUS,32808782138.0243,7.97029352,108.433078240274,1026036123626.8068,79.869,74.141,49.156,115.57036467232952,1.80249267959937,19.64301491,,88.0660994478314,339.1659262427146,45270.02104772119,3525.091997455348,359.99186722691854,1126.9361021901548,304.5947009260136,2.1223336659078766,1752.477688473337,2285.5295929662807,7812.549168155962
Australia,2006.0,81.3,20467,Country/Area,10166.0,10301.0,78.9,83.6,AUS,Western Offshoots,42651.0,20320.0,Expenditure,Percentage of GDP,7.972,AUS,34432769392.0335,7.97702456,113.601509731452,1054306478910.8842,80.648,73.565,49.334,146.42333565030287,1.82233092604478,19.74941826,2.18010997772217,114.767980166225,364.52353129540904,45297.044976871235,3679.738704507091,386.76437117729574,1118.949594678013,293.00646892144016,2.5078156013472026,1744.793702028095,2326.312922905423,7923.8470061335565
Australia,2007.0,81.3,20831,Country/Area,10354.0,10477.0,78.9,83.6,AUS,Western Offshoots,44034.0,20694.0,Expenditure,Percentage of GDP,8.052,AUS,38043117531.6008,8.05496502,120.511803195287,1094089602422.348,79.893,74.149,49.742,151.84838763258443,1.81227323422698,19.00255966,,160.61376146031813,400.35754323543745,46294.88871567032,3878.401211944371,410.873776998399,1106.1844465949928,303.28158996210647,3.0768404977896764,1710.8568385363667,2441.0580444662146,8160.085975522578
Australia,2008.0,81.5,21248,Country/Area,10570.0,10678.0,79.2,83.7,AUS,Western Offshoots,44422.0,21113.0,Expenditure,Percentage of GDP,8.247,AUS,46577367949.8655,8.24855137,121.713420287771,1133326149869.163,80.417,74.648,49.494,64.75367038520076,1.79668808931838,19.04162598,2.39995002746582,79.51179423520107,414.13355509374907,47109.967534814765,4070.809019933075,450.0802270669927,1062.6764170334873,324.9834053343413,3.2100771273527196,1668.3567739795683,2556.922373268215,8356.488360641091
Australia,2009.0,81.8,21661,Country/Area,10782.0,10879.0,79.5,84.0,AUS,Western Offshoots,44687.0,21553.0,Expenditure,Percentage of GDP,8.542,AUS,43012198498.0121,8.54473877,122.507455358702,1154775181480.752,86.72,82.54,66.36,135.8700262597014,1.92393833394007,19.05284309,,90.60243515912356,406.6470160272299,46337.921339983106,4127.287906005721,475.5455986771967,1049.7515033613493,347.6791962823531,3.4384222243488964,1651.5126785551631,2579.811770772692,8517.237460261264
Australia,2010.0,82.1,22019,Country/Area,10961.0,11058.0,79.8,84.2,AUS,Western Offshoots,45400.0,21891.0,Expenditure,Percentage of GDP,8.419,AUS,56087531401.3915,8.42025661,125.190669739101,1180486690611.4265,86.33,81.77,64.76,126.5996149701506,1.85292825768668,19.74928665,2.37074995040894,98.4721907900376,409.46183802361105,45974.91396897358,4115.574109080223,501.1345498155975,985.0845957568572,363.7045650741365,3.5253825976478836,1581.0775661590924,2662.187050049856,8416.9736553876
Australia,2011.0,82.1,22357,Country/Area,11128.0,11230.0,80.0,84.3,AUS,Western Offshoots,46132.0,22197.0,Expenditure,Percentage of GDP,8.534,AUS,65103659173.8147,8.53744984,122.159874233758,1208924281855.5825,86.64,82.52,64.78,85.66427944778738,1.75565694660719,19.17248344,2.23483991622925,80.68076303493248,394.9558311274851,45644.86616279047,4169.452678405033,517.9324562596672,938.3837885032503,376.7702263206514,3.2927327966995255,1507.0721154417763,2644.756648455282,8540.42956602852
Australia,2012.0,82.3,22729,Country/Area,11311.0,11418.0,80.3,84.3,AUS,Western Offshoots,47045.0,22588.0,Expenditure,Percentage of GDP,8.669,AUS,75743334708.1873,8.67456913,121.171074845894,1256294887279.4084,86.86,81.97,65.44,89.6116116177691,1.6709639653849102,19.93433952,,58.51877595884738,377.1357621050955,44697.092605460115,4051.384068671987,536.1655098285121,903.3077071355968,383.52597777881306,3.5962531472212085,1469.1513630810896,2735.1163276574666,8647.15378941159
Australia,2013.0,82.6,23112,Country/Area,11496.0,11615.0,80.5,84.7,AUS,Western Offshoots,47261.0,22980.0,Expenditure,Percentage of GDP,8.745,AUS,76161147744.5621,8.75058746,124.689961526028,1289036425122.182,82.58,76.14,52.14,86.60093427817125,1.6391801995446105,19.52692413,2.17843008041382,49.95120717668664,371.4342290316543,44581.74691085462,3578.553436523636,570.9104882931892,854.822280451714,399.6759177183502,3.7288310581414383,1404.086715318154,2808.2247046373623,8746.442111259255
Australia,2014.0,82.6,23470,Country/Area,11666.0,11804.0,80.6,84.5,AUS,Western Offshoots,47754.0,23326.0,Expenditure,Percentage of GDP,9.825,AUS,69449484926.8878,9.83354282,128.413228923657,1322646774172.1948,81.28,75.19,51.49,87.75094423541864,1.77305887756791,17.84737015,,47.90187365724529,402.94600273366297,45423.32055394179,3487.570694377181,602.7009412675278,854.0957381165454,430.32192874760096,4.768397187681557,1401.3742727248195,2987.604474245504,8966.77241952296
Australia,2015.0,82.7,23820,Country/Area,11830.0,11990.0,80.6,84.7,AUS,Western Offshoots,48146.0,23664.0,Expenditure,Percentage of GDP,10.174,AUS,66295707011.2121,10.18225861,136.306305060889,1351768945139.1135,82.09,75.81,49.54,87.81703813130835,1.9536335918401,17.20188141,1.92070996761322,55.52992933439156,433.1799548454238,45957.93350955248,3638.270990849437,660.7037646165392,870.2229010913888,457.5518932518741,5.347416933565443,1422.955393181279,3106.4698058804693,8959.355408722378
Australia,2016.0,82.9,24196,Country/Area,12008.0,12188.0,80.8,84.9,AUS,Western Offshoots,48675.0,24036.0,Expenditure,Percentage of GDP,10.09,AUS,59029245773.5312,10.09288597,142.575813360775,1389336532090.019,81.42,76.07,49.27,105.04418421291136,2.0885308793071,16.94656563,,65.83220666709332,437.6871663810434,45179.63529389829,3736.964915174605,698.5676908419896,875.4440247267719,471.98910048290975,5.9565650484133315,1429.9252940883057,3055.164882705505,9215.302225182875
Australia,2017.0,83.0,24590,Country/Area,12199.0,12392.0,81.0,85.0,AUS,Western Offshoots,49002.0,24445.0,Expenditure,Percentage of GDP,10.112,AUS,64658985215.0679,10.12281322,140.531327029043,1421551208676.4463,81.8,75.45,49.4,113.6847647974,2.00423407657625,16.60431671,1.87977004051208,63.51519188059462,431.028492864284,44678.795693452346,3847.987585313006,735.8322994646385,856.79594189289,478.2352633073546,7.047184736081354,1389.154273131276,3184.800638648518,9305.79295187809
Australia,2018.0,83.4,24979,Country/Area,12390.0,12589.0,81.4,85.4,AUS,Western Offshoots,49614.0,24823.0,Expenditure,Percentage of GDP,10.052,AUS,69322524330.2439,10.05971909,139.830901887313,1462866648667.6577,77.779,70.832,43.018,88.32416121264627,1.89567007851003,16.24427223,,54.137838901290735,420.2249722606469,44093.93687279783,4069.98287249751,787.278507482218,846.4600759917488,490.0695982965359,7.180885102311983,1386.944940652499,3241.932447034042,9497.40132709865
Australia,2019.0,83.1,25357,Country/Area,12579.0,12778.0,81.1,85.1,AUS,Western Offshoots,49815.0,25204.0,Expenditure,Percentage of GDP,10.213,AUS,67425211189.5042,10.21965981,136.024518942618,1494773366351.9883,78.07,70.938,43.275,106.6630160317829,1.88104345418486,14.73396778,1.82892000675201,59.81524137419502,440.22653792381016,45913.245694825506,4234.321081897731,831.015178387238,903.8432835796292,530.9676579019125,7.425099544927049,1472.6225006058942,3422.1909916047844,9926.360905927791
Australia,2020.0,84.3,25670,Country/Area,12738.0,12932.0,82.9,85.7,AUS,Western Offshoots,48269.0,25529.0,Expenditure,Percentage of GDP,10.66,AUS,64987464910.2899,10.6837368,142.019490413059,1489770563790.1145,76.834,69.28,40.46,129.32802522582307,2.01064009885885,14.91264343,,92.1663581918968,421.9789022469264,44224.47639014942,4096.350249522827,833.2480106200968,863.9219765837472,510.7222003169614,6.78251559682231,1403.665093521057,3264.9328950414188,9609.44028790191
