Countries,Indicators,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Burundi,Current Health Expenditure (CHE) per Capita in US$,,5.82561,7.70398,6.64047,6.02923,9.11970,11.43010,14.48707,15.68035,15.07347,18.82118,25.12049,23.81056,20.57490,20.84173,18.59082,18.20367,19.16796,19.77141,19.27294,22.95755,27.07072,24.26921,
Burundi,Health Capital Expenditure (HK) % Gross Domestic Product (GDP),,,,,0.02578,0.06352,0.50329,,,,0.10800,0.42582,0.45809,0.50634,0.82894,0.09366,0.09443,0.41067,,0.23678,,0.83291,,
Burundi,Capital Health Expenditure (Domestic Public) as % Gross Domestic Product (GDP),,,,,,,,,,,,,,0.14420,0.26772,0.06467,0.05527,0.14028,,0.08704,,0.44232,,
Burundi,Capital Health Expenditure (External) as % Gross Domestic Product (GDP),,,,,,,,,,,,,,0.35808,0.55962,,0.00941,0.26927,,0.14972,,0.39049,,
Burundi,Current Health Expenditure (CHE),% Gross domestic product (GDP),4.22182,5.68180,5.34984,5.27245,7.09573,7.56017,8.71265,9.18554,7.74147,9.23238,11.28197,10.06996,8.63756,8.62835,7.21082,6.29023,7.06148,6.95276,7.29396,9.05011,10.71837,9.10191,
Burundi,Domestic General Government Health Expenditure (GGHE-D),% Gross domestic product (GDP),1.46507,1.69244,1.53550,1.35508,2.36819,2.06248,2.36401,2.46383,1.55914,2.08080,1.98529,3.47108,2.66949,1.54087,2.78680,2.41954,2.23588,2.01362,2.05752,2.27517,2.15910,2.22769,
Burundi,Domestic Private Health Expenditure (PVT-D),% Gross domestic product (GDP),2.71293,2.71321,2.80066,2.78306,2.87462,3.10496,3.61754,3.94307,3.46923,3.41415,3.31601,2.74502,2.14084,1.96954,2.40355,2.10957,2.14896,2.16215,2.09526,2.12949,2.49404,2.62170,
Burundi,External Health Expenditure (EXT),% Gross domestic product (GDP),0.04382,1.27615,1.01367,1.13431,1.85291,2.39272,2.73110,2.77863,2.71310,3.73744,5.98067,3.85387,3.82723,5.11794,2.02047,1.76112,2.67664,2.77698,3.14119,4.64545,6.06523,4.25252,
Burundi,Current health expenditure by Health Care Functions,% Gross domestic product (GDP),,,,,,,,,,,,,,,,,7.06148,,7.29396,,10.71837,,
Burundi,Capital health expenditure,% Gross domestic product (GDP),,,,0.02578,0.06352,0.50329,,,,0.10800,0.42582,0.45809,0.50634,0.82894,0.09366,0.09443,0.41067,,0.23678,,0.83291,,
Cabo Verde,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4.43401,4.75244,4.75552,4.50009,4.37711,4.27364,4.48975,4.18900,3.58313,3.88152,4.47556,4.30527,5.13365,5.28994,5.32722,4.82334,4.84607,5.26837,4.73805,4.56320,6.12422,6.90379,
Cabo Verde,Current Health Expenditure (CHE) per Capita in US$,,58.89911,62.78510,68.21863,83.48032,92.04717,94.58553,111.28135,125.57422,125.53510,127.79915,142.87772,152.28348,167.49281,181.29549,181.44196,139.48537,144.32523,165.03763,178.77837,171.77171,196.26964,247.90794,
Cabo Verde,Health Capital Expenditure (HK) % Gross Domestic Product (GDP),,,,,,,,,,0.37920,0.35980,0.35619,0.29232,0.31199,0.08648,0.21674,0.80582,0.36864,,,,,,
Cabo Verde,Capital Health Expenditure (Domestic Public) as % Gross Domestic Product (GDP),,,,,,,,,,,,,,0.15419,0.06581,0.09601,0.06475,0.09125,,,,,,
Cabo Verde,Capital Health Expenditure (External) as % Gross Domestic Product (GDP),,,,,,,,,,,,,,0.15781,0.02067,0.12072,0.74108,0.27740,,,,,,
Cabo Verde,Current Health Expenditure (CHE),% Gross domestic product (GDP),4.43401,4.75244,4.75552,4.50009,4.37711,4.27364,4.48975,4.18900,3.58313,3.88152,4.47556,4.30527,5.13365,5.28994,5.32722,4.82334,4.84607,5.26837,4.73805,4.56320,6.12422,6.90379,
Cabo Verde,Domestic General Government Health Expenditure (GGHE-D),% Gross domestic product (GDP),3.16140,3.46985,3.46190,3.30086,3.12336,2.95318,2.97463,2.97691,2.45242,2.77685,2.83101,2.86502,3.07492,3.05590,3.04348,3.17430,3.08039,3.28109,2.92809,2.89717,4.00525,4.71387,
Cabo Verde,Domestic Private Health Expenditure (PVT-D),% Gross domestic product (GDP),1.15855,1.14785,1.15784,1.12617,1.08175,1.08888,1.10624,0.99424,0.90964,0.98203,1.37411,1.23712,1.39141,1.42607,1.48130,1.44806,1.51847,1.56587,1.35847,1.35780,1.39901,1.40130,
Cabo Verde,External Health Expenditure (EXT),% Gross domestic product (GDP),0.11407,0.13474,0.13578,0.07306,0.17199,0.23158,0.40888,0.21785,0.22107,0.12264,0.27043,0.20313,0.66733,0.80797,0.80244,0.20098,0.24720,0.42142,0.45149,0.30823,0.71996,0.78862,
Cabo Verde,Current health expenditure by Health Care Functions,% Gross domestic product (GDP),,,,,,,,,,,,,,,,,4.84607,5.26837,4.73805,4.56320,,,
Cabo Verde,Capital health expenditure,% Gross domestic product (GDP),,,,,,,,,0.37920,0.35980,0.35619,0.29232,0.31199,0.08648,0.21674,0.80582,0.36864,,,,,,
Cameroon,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4.11237,3.88487,4.02670,3.90228,3.72799,3.77274,3.73663,3.70859,3.65844,3.49997,3.57742,3.85283,3.93102,3.63111,3.78765,3.59505,3.59378,3.39752,3.61970,3.65158,3.77177,3.82407,
Cameroon,Current Health Expenditure (CHE) per Capita in US$,,28.79333,27.46539,31.41915,38.10652,41.75278,42.60779,44.01631,48.61967,53.99886,50.60470,49.50486,57.71255,56.36002,56.61406,61.80369,50.31904,51.24961,50.27868,57.70022,56.18641,58.09697,63.78602,
Cameroon,Health Capital Expenditure (HK) % Gross Domestic Product (GDP),,,,,,,,,,,,,0.18363,0.33099,,,,,,0.07812,0.11039,,,
Cameroon,Capital Health Expenditure (Domestic Public) as % Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,,0.05935,0.10622,,,
Cameroon,Capital Health Expenditure (External) as % Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,,0.01877,0.00417,,,
Cameroon,Current Health Expenditure (CHE),% Gross domestic product (GDP),4.11237,3.88487,4.02670,3.90228,3.72799,3.77274,3.73663,3.70859,3.65844,3.49997,3.57742,3.85283,3.93102,3.63111,3.78765,3.59505,3.59378,3.39752,3.61970,3.65158,3.77177,3.82407,
Cameroon,Domestic General Government Health Expenditure (GGHE-D),% Gross domestic product (GDP),0.64511,0.78028,0.89176,0.85767,0.70554,0.65209,0.64810,0.56893,0.55072,0.44801,0.40636,0.57296,0.64009,0.48038,0.58977,0.36384,0.36593,0.14121,0.35134,0.40687,0.60675,0.48458,
Cameroon,Domestic Private Health Expenditure (PVT-D),% Gross domestic product (GDP),3.35764,3.01728,2.99614,2.95219,2.89761,2.94105,2.91456,2.94811,2.88420,2.85193,2.88473,2.81151,2.98196,2.88534,2.79621,2.87492,2.87464,2.93404,2.75111,2.76828,2.70968,2.69141,
Cameroon,External Health Expenditure (EXT),% Gross domestic product (GDP),0.10963,0.08730,0.13880,0.09242,0.12485,0.17961,0.17396,0.19155,0.22352,0.20003,0.28634,0.46837,0.30898,0.26539,0.40168,0.35630,0.35320,0.32228,0.51726,0.47643,0.45534,0.64807,
Cameroon,Current health expenditure by Health Care Functions,% Gross domestic product (GDP),,,,,,,,,,,,,,,,,,,3.61970,3.65158,,,
Cameroon,Capital health expenditure,% Gross domestic product (GDP),,,,,,,,,,,,0.18363,0.33099,,,,,,0.07812,0.11039,,,
Central African Republic,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4.27479,3.95594,4.22761,4.39720,4.30442,4.36732,4.44105,4.71851,4.08699,4.81901,3.56700,3.67562,3.91814,4.76660,4.56557,5.03434,5.44402,6.66542,10.99658,7.76125,8.98538,9.06853,
Central African Republic,Current Health Expenditure (CHE) per Capita in US$,,9.86345,9.26134,10.61978,13.00554,13.72548,14.66589,15.91440,18.94979,18.67625,21.82637,16.40024,18.93714,20.60425,16.78927,18.02748,17.71483,20.25914,27.64417,49.17564,33.94443,40.11012,42.92786,
Central African Republic,Health Capital Expenditure (HK) % Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,0.00586,0.01687,0.03226,0.20133,,,,
Central African Republic,Capital Health Expenditure (Domestic Public) as % Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,0.00000,0.00000,0.00797,0.00650,,,,
Central African Republic,Capital Health Expenditure (External) as % Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,0.00586,0.01687,0.02429,0.19483,,,,
Central African Republic,Current Health Expenditure (CHE),% Gross domestic product (GDP),4.27478,3.95594,4.22761,4.39720,4.30442,4.36732,4.44105,4.71852,4.08699,4.81901,3.56700,3.67562,3.91814,4.76660,4.56557,5.03434,5.44402,6.66542,10.99658,7.76125,8.98538,9.06853,
Central African Republic,Domestic General Government Health Expenditure (GGHE-D),% Gross domestic product (GDP),1.72009,1.51680,1.43433,1.54274,1.47439,1.03528,1.22704,1.27106,0.84677,0.73202,0.57685,0.41536,0.62262,0.98293,0.71106,0.45585,0.59953,0.72882,0.68864,0.81894,1.22148,1.26418,
Central African Republic,Domestic Private Health Expenditure (PVT-D),% Gross domestic product (GDP),2.05713,2.16413,2.14043,2.31267,2.41157,2.37483,2.40174,2.43854,2.44570,2.43162,2.17308,2.19888,2.31679,2.20441,2.16383,2.49412,3.05759,3.83990,4.65827,4.77708,4.53790,4.51475,
Central African Republic,External Health Expenditure (EXT),% Gross domestic product (GDP),0.49756,0.27501,0.65286,0.54179,0.41846,0.95721,0.81228,1.00891,0.79452,1.65537,0.81707,1.06138,0.97874,1.57926,1.69068,2.08437,1.78690,2.09670,5.64967,2.16523,3.22599,3.28960,
Central African Republic,Current health expenditure by Health Care Functions,% Gross domestic product (GDP),,,,,,,,,,,,,,,,,5.44402,6.66542,10.99658,7.76125,,,
Central African Republic,Capital health expenditure,% Gross domestic product (GDP),,,,,,,,,,,,,,,,0.00586,0.01687,0.03226,0.20133,,,,
Chad,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5.45751,5.29330,7.26787,5.50941,5.50013,4.84111,4.86643,4.34313,4.05955,4.44167,4.06023,3.91046,3.85608,4.06645,4.27317,4.52395,4.73397,4.64740,4.56769,4.59278,5.53655,5.19022,
Chad,Current Health Expenditure (CHE) per Capita in US$,,10.38308,12.00212,18.58373,18.59138,28.63477,32.28605,34.97856,35.18188,38.15471,36.02885,36.49870,38.68488,37.49701,39.97917,43.67587,35.03441,33.10381,31.06100,32.30886,31.30482,35.72978,35.63118,
Chad,Health Capital Expenditure (HK) % Gross Domestic Product (GDP),,,,,,,,,,,,,0.76796,,,,,,,0.00902,,,,
Chad,Capital Health Expenditure (Domestic Public) as % Gross Domestic Product (GDP),,,,,,,,,,,,,0.61501,,,,,,,0.00424,,,,
Chad,Capital Health Expenditure (External) as % Gross Domestic Product (GDP),,,,,,,,,,,,,0.15295,,,,,,,,,,,
Chad,Current Health Expenditure (CHE),% Gross domestic product (GDP),5.45751,5.29330,7.26787,5.50941,5.50013,4.84111,4.86643,4.34313,4.05955,4.44167,4.06023,3.91046,3.85608,4.06645,4.27317,4.52395,4.73397,4.64740,4.56769,4.59278,5.53655,5.19022,
Chad,Domestic General Government Health Expenditure (GGHE-D),% Gross domestic product (GDP),2.07554,1.84561,2.09622,1.73733,1.91801,1.42997,0.99539,1.02279,0.79530,0.92614,0.85190,0.82495,0.94672,1.14864,1.21947,0.96198,0.82246,0.69615,0.65008,0.69896,0.92749,0.89751,
Chad,Domestic Private Health Expenditure (PVT-D),% Gross domestic product (GDP),3.18557,3.25665,4.97869,2.84481,3.00839,2.92452,3.32988,3.04701,3.02640,3.15458,2.96692,2.58686,2.49150,2.59250,2.58877,2.79004,2.83833,3.02559,3.03427,3.01713,3.45633,3.14779,
Chad,External Health Expenditure (EXT),% Gross domestic product (GDP),0.19640,0.19104,0.19296,0.92727,0.57373,0.48662,0.54116,0.27333,0.23784,0.36095,0.24141,0.49865,0.41786,0.32531,0.46493,0.77193,1.07318,0.92566,0.88334,0.87668,1.15273,1.14492,
Chad,Current health expenditure by Health Care Functions,% Gross domestic product (GDP),,,,,,,,,,,,,,,,,,,4.56769,4.59278,,,
Chad,Capital health expenditure,% Gross domestic product (GDP),,,,,,,,,,,,0.76796,,,,,,,0.00902,,,,
Comoros,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,7.51535,6.65323,6.68115,6.65392,6.58028,6.12521,5.77074,5.41754,5.06897,4.92694,4.99182,5.30212,5.17355,5.10299,5.23850,4.60090,4.65264,5.26807,4.90319,5.18044,5.86522,6.33513,
Comoros,Current Health Expenditure (CHE) per Capita in US$,,47.50006,45.25307,51.05595,63.81993,70.50470,67.78136,65.70906,69.87508,73.73595,69.42590,69.08988,80.95453,76.77298,81.44331,84.27106,60.86703,63.14865,74.52148,74.43584,77.80075,88.67053,99.03724,
Comoros,Health Capital Expenditure (HK) % Gross Domestic Product (GDP),,,,,,,,,,1.25307,0.53174,0.23090,0.00281,0.94554,0.49507,,0.04665,,,,1.42861,,,
Comoros,Capital Health Expenditure (Domestic Public) as % Gross Domestic Product (GDP),,,,,,,,,,,,,0.00167,0.11029,0.08707,,0.00863,,,,1.38530,,,
Comoros,Capital Health Expenditure (External) as % Gross Domestic Product (GDP),,,,,,,,,,,0.53174,0.23090,0.00115,0.83525,0.40800,,0.03439,,,,0.04163,,,
Comoros,Current Health Expenditure (CHE),% Gross domestic product (GDP),7.51535,6.65323,6.68115,6.65392,6.58028,6.12521,5.77074,5.41754,5.06897,4.92694,4.99182,5.30212,5.17355,5.10299,5.23850,4.60090,4.65264,5.26807,4.90319,5.18044,5.86522,6.33513,
Comoros,Domestic General Government Health Expenditure (GGHE-D),% Gross domestic product (GDP),0.89239,0.53460,0.95703,0.85294,0.79133,0.69352,0.64538,0.56598,0.43337,0.37907,0.37668,0.95672,0.79534,0.65978,0.55491,0.46613,0.57400,0.67585,0.76554,0.83245,1.29280,0.93623,
Comoros,Domestic Private Health Expenditure (PVT-D),% Gross domestic product (GDP),6.18025,5.59441,5.27578,5.05059,4.99182,4.85410,4.77525,4.61793,4.41391,4.33267,4.20550,3.58714,3.62799,3.59749,3.57539,3.63848,3.48938,3.54893,3.49347,3.43779,3.86478,3.77479,
Comoros,External Health Expenditure (EXT),% Gross domestic product (GDP),0.44271,0.52422,0.44834,0.75040,0.79713,0.57759,0.35011,0.23363,0.22169,0.21520,0.40964,0.75825,0.75021,0.84572,1.10820,0.49629,0.58925,1.04329,0.64418,0.91021,0.70764,1.62411,
Comoros,Current health expenditure by Health Care Functions,% Gross domestic product (GDP),,,,,,,,,,,,,,,,,4.65264,5.26807,4.90319,5.18044,,,
Comoros,Capital health expenditure,% Gross domestic product (GDP),,,,,,,,,1.25307,0.53174,0.23090,0.00281,0.94554,0.49507,,0.04665,,,,1.42861,,,
Algeria,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3.48903,3.83788,3.73004,3.60104,3.54407,3.23516,3.35510,3.82142,4.20188,5.35940,5.11717,5.26748,6.00051,6.03576,6.54721,6.96321,6.58905,6.53308,6.38730,5.86751,6.14269,5.52834,
Algeria,Current Health Expenditure (CHE) per Capita in US$,,62.11769,67.33850,66.94760,76.23547,93.02433,101.30373,117.43314,151.77921,207.84882,208.93501,230.06392,288.31332,336.67267,333.16028,361.15942,292.27518,261.40024,265.83844,266.46469,235.99042,206.03513,204.56662,
Algeria,Health Capital Expenditure (HK) % Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,0.01103,,,,,,,
Algeria,Current Health Expenditure (CHE),% Gross domestic product (GDP),3.48903,3.83788,3.73004,3.60104,3.54407,3.23516,3.35510,3.82142,4.20188,5.35940,5.11717,5.26748,6.00051,6.03576,6.54721,6.96321,6.58905,6.53308,6.38730,5.86751,6.14269,5.52834,
Algeria,Domestic General Government Health Expenditure (GGHE-D),% Gross domestic product (GDP),2.51083,2.92550,2.80793,2.76179,2.52882,2.24167,2.29699,2.66688,3.02516,3.79896,3.55552,3.71976,4.37614,4.28830,4.71454,4.90172,4.45400,4.36111,4.27650,3.68985,3.74659,3.26778,
Algeria,Domestic Private Health Expenditure (PVT-D),% Gross domestic product (GDP),0.97638,0.91060,0.92046,0.83744,1.01359,0.99092,1.05635,1.15201,1.17518,1.55768,1.56021,1.54668,1.62245,1.74626,1.83035,2.05962,2.13372,2.17012,2.10913,2.17488,2.39354,2.22564,
Algeria,External Health Expenditure (EXT),% Gross domestic product (GDP),0.00182,0.00178,0.00166,0.00181,0.00166,0.00257,0.00176,0.00253,0.00154,0.00276,0.00144,0.00104,0.00192,0.00120,0.00232,0.00187,0.00133,0.00185,0.00167,0.00278,0.00256,0.03492,
Algeria,Capital health expenditure,% Gross domestic product (GDP),,,,,,,,,,,,,,,,0.01103,,,,,,,
Congo,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,1.50501,2.18530,1.70168,1.91852,1.92152,1.71774,1.70861,1.90200,2.23927,2.14222,1.85173,1.75237,1.90971,1.94347,1.97312,2.45668,2.77497,2.52241,1.89764,2.54176,4.39383,3.87538,
Congo,Current Health Expenditure (CHE) per Capita in US$,,17.44676,20.41894,17.09034,21.64731,27.67554,31.10123,36.16911,42.22278,63.78909,48.92730,54.86232,59.84464,71.68789,72.29035,71.47676,57.67850,54.67388,52.68054,47.67590,58.90273,80.80836,80.51492,
Congo,Health Capital Expenditure (HK) % Gross Domestic Product (GDP),,,,,,,,,,,0.08625,0.23644,,0.22600,0.06589,2.75927,0.25755,0.15870,0.18232,0.07506,0.04328,0.22358,,
